cvegeo,material_mean,educativo_mean,monetario_mean,material_sd,educativo_sd,monetario_sd
01001,-1.2280277591151973,-0.7835356414882075,0.3743013679826943,0.09655335321614544,0.3140458446545304,0.16064271442947795
01002,-0.7152856024538471,-0.44832368414020746,0.6403198690102678,0.08917194564481935,0.32409788637286485,0.105641958050906
01003,-0.2745734714590747,-0.5214519722276367,1.0094456636017013,0.10486528367950604,0.33975178741734685,0.09295602407528966
01004,-1.1468542879103283,0.004695860061331537,0.05527171661467021,0.07666259499488128,0.359778553562441,0.1130728779903836
01005,-0.32193696574861164,-1.0518700935528942,0.6212451276507515,0.11332357112292253,0.3390665169213175,0.14380807642577748
01006,-0.8660893969709641,-0.3419333422739643,0.4796832513022199,0.07993766653685012,0.333181959749464,0.10793068912330404
01007,-0.9192275754945556,-0.1333966954032552,0.30501997680368376,0.06856617714563178,0.32277628151801036,0.09879816687020451
01008,-1.0299216750173934,-0.26733571917316395,0.3751819352412621,0.07778198075573378,0.3382970079770741,0.11374926559169812
01009,-0.6996772827819369,-0.41230283026795206,0.44405282718665295,0.08339557229465812,0.3273277229393807,0.10393446264085149
01010,-0.5332826079107373,-0.47363368615063595,0.5338069605785419,0.08829037352682353,0.35282480417844875,0.10240368025471865
01011,-0.6171412037526459,-0.9243570474275997,0.901584045675078,0.12196695519656696,0.35964925464010966,0.14545862842954543
02001,-0.39765104847418886,-0.444374791500544,0.0883926739486743,0.07878738393338848,0.3449097319376632,0.09730215619886322
02002,-0.6870855221230314,-0.49410336511000785,0.06973688307127426,0.08525659574619994,0.3523876292964849,0.11479264753698534
02003,-0.36044622874796406,-0.6625357590568068,-0.18484799625963358,0.08897411573310413,0.3353396803471792,0.11556029266809391
02004,-0.23044302439527334,-0.9090063437588772,0.0783797824359642,0.10723533880135742,0.34467239491797713,0.1387669825071406
02005,-0.12352049765317619,-0.83540389930705,-0.06977544883294003,0.09664797548197585,0.3531237915135817,0.12709421363793957
03001,0.1029579114069335,-0.5952646525137258,0.025506713985272995,0.0846132149237111,0.336486527069604,0.09939309223576237
03002,0.16014598150808398,-0.5853536393699689,0.033123521578666944,0.08560231256961619,0.36611272709937137,0.10059674122242634
03003,-0.5284422919546451,-0.7377197888245804,-0.30259525116871233,0.09911984358630162,0.3552110365511131,0.13316947742161153
03008,0.49783628832550747,-0.7883703643036576,-0.7846256543366106,0.11619794807912047,0.3850193668359024,0.12924597822201855
03009,0.21146206618385222,-0.3775754913987687,-0.6214254503313432,0.09352138214307464,0.3590324686701191,0.08990194296684634
04001,-0.24544183893046,1.7640074441484297,0.4130051697696545,0.14865103268397487,0.323774107249348,0.21730379662679614
04002,-0.438693488800457,1.1939319395349586,0.3569984791071414,0.12211401876664423,0.3553837214845656,0.16175447107531687
04003,0.06854440291806062,0.8865185969055496,0.04542635984794748,0.09287335794049253,0.293125587511848,0.11970634988359315
04004,-0.12842678995356807,1.170361673785764,0.2133738548114899,0.10650412663126664,0.3041904106752181,0.15043244835185204
04005,-0.6071170410020187,1.9899165485452002,0.36923387093640614,0.16217174337711748,0.34549014575793613,0.23964918077891004
04006,-0.04055290337643396,1.0939969910032568,1.2460212712540488,0.1360335602700656,0.3269046252824933,0.1510536901219639
04007,-0.0616012581064248,1.2342817177073278,-0.1934337696218742,0.11422861067786662,0.34736978534031593,0.154360817464705
04008,0.008673075349863979,1.6566741643823133,0.9672994160890135,0.15294030382848228,0.3563143382405912,0.20937005723772537
04009,0.0875421581554834,0.9878459497305966,0.16162522028194357,0.09715815581799545,0.32387572577511364,0.13390149855533454
04010,-0.8728277997988754,1.1224813588130915,-0.5944083767146439,0.11869866287996653,0.3170088632913506,0.1542058014825332
04011,-0.2784819454242542,0.8701711996423159,-0.09937919386418373,0.09259644750300344,0.33591348360639733,0.1172281266684307
05001,-1.5066276693730838,-0.4618450800787438,0.38082421922072474,0.08851280508254228,0.3654831591029202,0.15932630801542894
05002,-0.8627455282242252,-0.3644849300239027,-0.013861732002672902,0.0921426842232991,0.3503256962312625,0.11996368533245524
05003,-0.8778502207927115,-0.49813494342427006,0.378991430433751,0.08983120014417649,0.35087630130669,0.12431181345281984
05004,-0.45759075331198307,-0.9327737073733309,0.15896766300461035,0.09941300233670008,0.328066564069727,0.1433269678291634
05005,-0.29404977408600214,-0.10212819290079497,0.8512249030946714,0.09363962001277158,0.32042128109450635,0.0768335096799131
05006,-1.2089980002975842,0.07096342864610004,0.30435936562472055,0.07564268789597534,0.32764055626589783,0.11735553757694418
05007,-0.7060165724885858,-0.3753944904022884,0.1720756941108372,0.0685539164821536,0.2940082510121358,0.10111565385020928
05008,-1.3697850166819079,-0.06601170127724984,0.7120954675272284,0.08988003775658618,0.3754238919630974,0.12975120095620218
05009,-0.7674027281758321,-0.3335843022598989,0.41412861210185326,0.07487866998667324,0.3181583105923446,0.10161936375519715
05010,-1.2436112710663854,-0.11951429669585426,0.19657804065547885,0.07509132850313077,0.32863160194615576,0.12274793981553626
05011,-1.2370611666510913,0.10897720798194266,0.048636686958976064,0.07737901864625821,0.3630368148800604,0.11983371412770256
05012,-0.22187911057877469,-0.07883670479059164,0.36613200356468517,0.07545213107898147,0.3267590047660153,0.07255705115532549
05013,-0.2627989669205908,-0.5186901589689437,0.8806756639279268,0.11668975937592177,0.36617277619528077,0.11439459170893372
05014,-0.07429940860374336,-0.6690586234985466,0.5750613664058716,0.10105847350015221,0.34603921279201766,0.11198361448379451
05015,-1.3368431966621095,-0.4218708968812235,0.501357184218,0.08883056905996971,0.33939021267404784,0.14171953484106883
05016,-1.1117043332773082,-0.13561369380610447,0.539330199393255,0.08795314926734799,0.34976336427643595,0.11609096473631729
05017,-0.5767327758339147,-0.5114538172349322,0.20249508082785914,0.07880450608297541,0.3246718771282991,0.1054868029227604
05018,-1.4746694104719895,-0.3187230368742822,0.01199006579885742,0.07748246080853051,0.3480038468576378,0.14880484378831227
05019,-1.1766015914848051,-0.5659578012878279,0.3585537817032938,0.08785168575447279,0.34198209318387135,0.14297752103870318
05020,-0.8939575451660698,-0.19073422786933386,0.32821679579033836,0.07532041718562958,0.3078958139293092,0.10445104226879967
05021,-1.6277225120466978,-0.024070571212001624,-0.21012818500120625,0.07959697583243258,0.345147934285665,0.1464126461405086
05022,-1.006163978534181,-0.5164589024481889,-0.08970206803953837,0.08854974615207241,0.31586473882648947,0.13248016548584482
05023,-0.6186528955632578,-0.5750475922075455,0.42768184943576965,0.08533042051764701,0.31061568643628384,0.11559177475764575
05024,-1.0261683608791274,-0.1878152359192342,-0.20827583898927213,0.06788225895621838,0.30551138854708143,0.11014684208488737
