cvegeo,material_mean,monetario_mean,material_sd,monetario_sd
01001,-1.6585683347630036,-0.442916715010389,0.41298775039439006,0.31626973836938627
01002,-0.7296265737614155,-0.2727416991410153,0.39852271299787295,0.31756130887879414
01003,-0.5373543198717619,0.5535014444854988,0.4172420009662055,0.27608273748013845
01004,-0.14072267370283595,-1.106462861668916,0.4047145651087262,0.365470969460885
01005,-0.9535004750155555,0.31814815164051496,0.40840164127940154,0.5872477943304248
01006,-0.3548292977722833,-0.44092995075611247,0.4087295573017436,0.1747935816859288
01007,-0.473373255047367,-0.612737188545849,0.38588957287851267,0.2213897262169287
01008,-1.0226174194340507,-0.37214130700683595,0.3911558231521799,0.27891449908657623
01009,-0.7692559321587309,-0.36048704262500114,0.3903056056221026,0.3875821104550673
01010,-0.5161852409590979,-0.21351351086802556,0.41035762156258626,0.43741312043244845
01011,-1.0294713136447131,0.4646790783983245,0.39761674212097176,0.19486143423062322
02001,-0.07265942036282674,-0.4681678923071394,0.4557961788491358,0.3642402243858551
02002,-0.4947794947046833,-0.588609061706847,0.4258142231660617,0.21859809978691552
02003,0.20938230421341092,-0.5351839803421035,0.45545534267226184,0.2919550578312391
02004,-0.2835379657816703,-0.144655489488565,0.42032663355928473,0.4502669686829884
02005,-0.336475190541346,-0.04935474501302688,0.44041194193662264,0.44129540698782155
03001,0.10411514106468735,0.0498753912574203,0.4203809656702043,0.3728711295910325
03002,0.1520711676939326,-0.14359809464196166,0.4472742036165689,0.7731064470327221
03003,-0.6874844282048763,-0.5510197483716565,0.4313942273015796,0.228800936982633
03008,0.7241119535479243,-0.20739046005732217,0.45498686637905783,0.3817510952848949
03009,0.8463355996126808,-0.19957750362257323,0.4128496811010714,0.2326807246806191
04001,0.648774161823825,-0.4205717298469888,0.41579044698967743,0.21566589253921722
04002,0.2587733498567547,-0.39981717595505284,0.4332069950140998,0.2500547219777174
04003,1.0299577725765119,-0.43017015009682774,0.4180782839026582,0.32424939577649226
04004,0.7277378977366267,-0.47649755157937373,0.4091185358918055,0.1885721892565434
04005,0.6919859764116524,-0.6834787077930274,0.42006937072830014,0.554048425951323
04006,-0.4813531122017745,0.43873739127041445,0.4005345557180911,0.5600971214458165
04007,1.1782752443030062,-0.678385660203702,0.4080555571927844,0.38649958984277044
04008,0.8060711328349173,-0.00861550247667653,0.40539256232325116,0.7125490053225085
04009,0.5802138953824074,-0.1153296817886393,0.40763679635223576,0.2171348916372611
04010,0.03553232469115658,-1.6449417371897295,0.41730480820162813,0.7260948336064296
04011,0.26731548040644726,-0.7830246392734483,0.4282424129688845,0.24659956410192316
05001,-1.4178693987509485,-1.1175129347036161,0.4105068665767238,0.2922751267180263
05002,0.13754361167230839,-0.8529278133687099,0.39948669796313896,0.22006133606363615
05003,-0.2984486506160507,-0.2591574411534189,0.4020992273985923,0.3647059992179961
05004,-1.189301280872105,-0.3178397526062332,0.4435974549756975,0.9579947705161626
05005,-0.19845969655715454,0.24399910438660644,0.4219009537067568,0.2743753606758647
05006,-0.06694742028805156,-0.724117454497788,0.40908519670964294,0.588340019019275
05007,-0.49229002731490573,-0.6418503222991787,0.46682410417279874,0.5337320170478193
05008,-1.0954169441607278,-0.8157722736602505,0.40519335888069863,0.2845100191629005
05009,-0.6671900602320961,-0.4453077896064335,0.39396975477627844,0.21463937985177825
05010,-0.4689856935440326,-0.7914673437532983,0.42200700518927026,0.5308438427950077
05011,-0.16221106043072644,-1.1495062323978897,0.41765484953593907,0.5059429160321691
05012,0.49224954968647755,-0.3284153273981421,0.3982872365188668,0.44670588782022386
05013,-0.7310592098004376,0.2564968335484959,0.408831391264172,0.7946399879119164
05014,0.12632549520914294,0.027071829691034343,0.4409097549951552,0.9365645825825865
05015,-1.2677392073857972,-0.8956857965715117,0.4070321551975238,0.2046614267973962
05016,-0.8331488028920726,-0.5594485147796142,0.4146964099673621,0.25585586176911457
05017,-0.42166128251513196,-0.3735826579921407,0.3985302175593551,0.19369794634492846
05018,-1.0009673058372859,-1.0087899561611926,0.4166703458876235,0.5634383689338335
05019,-1.0827218880415432,-0.7692193580478186,0.4208634559179985,0.4951623522895093
05020,-0.09715317651291086,-0.4884752788199872,0.39954358704276616,0.31193816670051744
05021,-0.7029038098693478,-1.4606442738177439,0.44430942416525615,0.69591064492268
05022,-0.12517380493315164,-0.8518773367029361,0.42557179956190483,0.310478131927365
05023,-0.6005698167510084,-0.31502947854627295,0.46317670475372213,0.5340335200645063
05024,-0.5467130608921685,-1.0560383119456334,0.41917830273844825,0.20786554693755746
05025,-1.0953173309852984,-0.19445488675010875,0.3980148969398023,0.19925243725398353
05026,0.10915390651252845,-0.39329174575155096,0.4090544657504035,0.19147104156604297
05027,-1.1923534319576345,-1.062707386290393,0.45807390339204185,0.3842282971226625
05028,-0.7139668090784415,-0.4859418181722595,0.41487579424554855,0.3920909971277594
05029,-1.1475902420625186,-0.8895210992969835,0.447213281514701,0.2666859936543553
05030,-1.4032878800431359,-1.2056973292385147,0.41660751011873765,0.29696293688315345
05031,-0.6065686815804218,-1.3121928474575344,0.41948037302702723,0.8398302435031103
05032,-0.5325874986161481,-0.6427093429978444,0.4156772987497724,0.7588869579099659
05033,-0.03432293548523154,-0.4237190447963671,0.4002188841513946,0.2628019067631787
05034,-0.041317761766330036,-1.6736161406909111,0.42779469703145007,0.7548375228245394
05035,-1.6204369435526749,-0.25659585208101876,0.4043197814261023,0.36863699289898644
05036,0.05627392298253706,-0.22563102056027362,0.41122936659873316,0.26448904827241965
05037,-0.5372580046478187,-1.0356161805983184,0.4478618449510543,0.6067522611970608
05038,-0.5980967882474634,-0.4375145917705585,0.41568138349504064,0.4327123986579554
06001,0.4844555998639468,0.029502304479459146,0.41193919803690193,0.6266470065929297
06002,0.1249230637118925,-0.03949072859518996,0.39080363644324195,0.16779603157101505
06003,0.8186232702708471,-0.07255176272020168,0.39839125494409006,0.18122910998662742
06004,0.7880878958677934,0.07937588385730243,0.403671919305152,0.394330046342203
06005,0.4405713539016076,-0.35342859706377366,0.39531792012548655,0.29394146019207684
06006,0.23833458906289465,-0.23042683060918157,0.4095726746332005,0.4693544069342338
06007,-0.42211781487826827,0.4410985118216839,0.4154333993856761,0.41728585519834255
06008,1.103256233209869,-0.7316218438969864,0.4934054791855747,0.5848825369218681
06009,0.5890603245682083,0.3256346541587356,0.395588393491169,0.820256211215801
06010,-1.1691759890520725,-0.4848349856225038,0.38824293806262117,0.20646745815053913
07001,-0.7878448727993097,0.2218242619417012,0.40211930299168114,0.6248001621975916
07002,1.379796108269747,0.541992839679684,0.3959194972399371,0.404651558956672
07003,-0.0006543375905590769,-0.15229945580247156,0.4158100935046589,0.7106884044054372
07004,-0.903485990460311,1.8288384599850902,0.4144940500641213,0.21420156562743625
07005,-0.17999057233768112,-0.7246716477101285,0.4079953464940107,0.37905839551789744
07006,-1.5011228593989006,0.13805636017524692,0.4500584828269673,0.3021585232690253
07007,-1.0133046032322168,1.118599842989616,0.44959915592108807,0.8109991596569921
07008,0.47254947177292755,0.6169300388661761,0.4107598044077254,0.221549977028024
07009,0.9441747917687943,0.5911251619963437,0.41663336734367445,0.1921833102075542
07010,-2.1207590334069866,0.27404214785657816,0.40661610218816446,0.4153227655865644
07011,-1.4960010449626662,-0.4404601742876297,0.40146488575038436,0.22251887396869643
07012,0.9125382178135307,0.8836428515291195,0.41250899526848617,0.8493324780231625
07013,0.8764391974146996,0.02751492903587158,0.43872762812553495,0.30175599694279814
07014,0.11148747253127099,0.4118387850055071,0.4554309138992183,0.8733321885053793
07015,0.7512388489630888,0.3785084431804767,0.4278712116731659,0.40571243208089053
07016,0.8064216916468271,-0.21623124437375812,0.40072321984649434,0.36208202379406235
07017,0.6892583240129377,0.4273354794438334,0.38746296947978204,0.22469411926062202
07018,-0.7892821815982836,-0.24668316243240945,0.3901430994415958,0.35272702201412803
07019,-0.40286543209455344,1.5401959720588831,0.4125884395618441,0.6070496629584414
07020,0.9330766726196559,-0.11788341801326009,0.3971475394633471,0.2277722141358523
07021,0.5983121368073868,-0.4491356877604811,0.41093846454901517,0.2813450723676208
07022,0.0890061246958299,0.30747597944252003,0.4487176088284198,0.32755028289139676
07023,-0.6119295362772618,1.7392331038148892,0.4621930398651839,0.3431175917475594
07024,-0.7062512500765249,-1.4661132064242288,0.43803626398686396,1.0922747743285173
07025,-0.4393107184954426,-0.649807498718774,0.42596030130738555,0.47831920770175984
07026,-0.22617943963805393,1.0789807599484265,0.3958938238101062,0.4583800488663983
07027,0.5009631952060845,0.27038339517740667,0.40795989359425555,0.2790598762526929
07028,0.7041377536034095,0.7073864297448752,0.44893349315006464,0.2839599731076917
07029,1.0998093915290281,0.6385138504634881,0.40974201223179907,0.6612780887748104
07030,-0.6420056398473918,0.02788775984901229,0.3986132207487381,0.568114391846427
07031,-0.8737875594355805,-0.0827189377392136,0.40502898768812,0.26586426757432136
07032,0.36987957638649277,0.10461364545368189,0.39305445534596894,0.27915206220168765
07033,1.1400893529015603,-0.9951450270124975,0.42441313023014426,0.5336805132987431
07034,-0.16477548458637703,1.0656842542509914,0.4109026104650835,0.23438997387786661
07035,0.46387524101370375,0.06036404266709669,0.39300724271356297,0.18011770135331293
07036,-2.0107695838995925,-0.4431217088784613,0.41755449672692035,0.6700893335119136
07037,0.8281230173722915,-0.14695402371353883,0.4104601212204981,0.5722488391775066
07038,-1.128326877610902,-0.0449998389912806,0.4324293464032289,0.9303403866579641
07039,0.2513353762720766,-0.4198061052581934,0.4401793775529122,0.5691297365980129
07040,0.6546004714880251,0.41139486432394096,0.41801092695418035,0.5186373703813314
07041,-0.8263600214817016,0.9619175871539051,0.457250605216741,0.17932014849757122
07042,-1.423988533298616,-0.7290380289999672,0.4566284005366363,0.29343430705930595
07043,-0.2596779676002115,-0.8104296619962861,0.39748492919757905,0.45524434586778445
07044,0.28515166270272124,-0.37391854926316453,0.44796917404094255,0.3003152008931622
07045,0.39008827011931524,-0.025413299059728948,0.40634326230726336,0.7565454292508648
07046,0.9545939984476488,-0.02585161044464687,0.38930362349179093,0.20189343482542002
07047,-0.9367247063717632,-0.11418567980066324,0.5166408171673883,0.8522987842350448
07048,0.8422562368290354,-0.2639256300835927,0.4001515983149289,0.3499134136178558
07049,-1.9438260473915197,-0.3782032529650208,0.5037441914301038,0.8010298924196784
07050,-0.5571945833986229,-0.13550373933881119,0.42485506810554974,1.401782845240957
07051,-0.0411193420190837,0.8242027718550801,0.39786002344065535,0.5928861859868612
07052,-0.4208222595480001,0.10347971079915173,0.41086136743079305,0.4341203052819729
07053,-1.3429297573553451,-0.012867730446197224,0.3987042624991223,0.19119859555824875
07054,0.9985645771247643,-0.09419307569787223,0.42094794643928884,0.7363440436236119
07055,0.7439224630386819,-0.11765845449118527,0.4275863221661016,0.20649331223356288
07056,-1.612265566310347,1.1874563493121444,0.4107973968369955,0.22012690359261358
07057,-0.3863615483262346,0.2610574118545604,0.48582792929231433,0.20866804639531472
07058,-0.37777805003802123,0.28708906061233586,0.4845090049455046,0.4894101172269721
07059,-0.2003750599826047,-0.39743883571265287,0.4139726136432718,0.2656122191028724
07060,-0.2750067780211477,-0.32586388204034966,0.4235234822284152,0.380159936113493
07061,0.15453458134366707,0.5479730978879451,0.38965973020664674,0.6013941626593113
07062,0.056230790518043965,-0.5650511962605386,0.3841892219435817,0.48909473685465094
07063,0.003190290539021159,-0.4347819289199338,0.4088713086068935,0.2182607342297007
07064,-0.24005898523674474,-1.0230237250249714,0.47455200709546597,1.1649809998172127
07065,0.3315043586379632,-0.15331145852673908,0.40029228146379137,0.35965292439392504
07066,0.028151039599988624,0.9534482108597806,0.4431966523912143,0.20884932443210602
07067,-0.03757157887222766,-0.6554220949028295,0.49700195464859404,0.21999504398302788
07068,0.7294790224724756,0.09795779601998045,0.39448426244190715,0.4732285226528887
07069,0.3074690085461097,0.46722907124838214,0.38780269088838754,0.40183950076881236
07070,-1.6898084018459218,-0.44546905565185224,0.5050673136730193,1.3437157873394496
07071,0.6945799883879897,-0.016885857800298776,0.40064362141797144,0.8534264786980561
07072,-0.07570023129548933,-0.13005820340600585,0.46541026311102623,0.251516011242538
07073,0.06239538704099528,-0.1810935686166305,0.42703343449296005,0.20230694567047203
07074,0.35984757102747095,0.004202508128767232,0.41781710263162125,0.6276594642494715
07075,0.6090944146763099,1.6638252301858565,0.4360157610743048,0.5974492366886499
07076,-0.5632480341071069,-0.6597417172294676,0.41539575141545587,0.4548900344966316
07077,-0.12216472620630688,-1.0177688726778833,0.42918361136499866,0.272079703465907
07078,0.3758907108591274,1.257495656289494,0.4261855773863498,0.432991123574781
07079,0.34981996847804964,1.4939405718745453,0.42509916034658984,1.1833713983303022
07080,-1.0690635789711203,-0.6556216051555586,0.5541622490042888,1.0324752503549908
07081,0.28440344097463877,0.21760574404238614,0.4866620312539304,0.37666865265864313
07082,-0.33455495992826595,0.6721185992791696,0.4753764806016605,0.5258413693441657
07083,-0.1375999552232393,0.637975304366005,0.42527657599616736,0.7086006174228511
07084,-0.3400960946003084,0.051225977379084145,0.4040789936673212,0.6071703305185129
07085,-0.5489138401474732,0.9739236965969382,0.4044059833894716,0.19244527916606777
07086,1.1297558449717555,0.3403428795721251,0.390023961997259,0.5576046792571091
07087,1.1899937723874359,0.877909696017645,0.4211041210653917,1.0838171392849554
07088,-0.4530320381362374,-0.9775854088857405,0.41087125011130393,0.5719314858770747
07089,1.1798454726791587,0.8641020854052348,0.39143146865968304,0.24240083047299169
07090,-0.3558537573777653,-1.2335550439449947,0.3998669325368434,0.17988371479152318
07091,0.7984870045720327,-0.7432973764332191,0.44483006269699277,0.4083465046168094
07092,0.2667010066112543,0.02939871326262169,0.4063310257040476,0.18118429986696716
07093,-1.0137661989710027,0.24957050957557309,0.4800227555728878,0.8095430902210713
07094,-0.24153165048933434,1.8000456324365233,0.4372446652658947,0.644366675991458
07096,0.8570279641164964,-0.18530709681198493,0.42671684045286645,1.097705064293001
07097,0.6151850527077204,0.43494565244160854,0.4206729006315457,0.18217853329200068
07098,-0.1562715608010005,0.23943734120253293,0.4230932126595147,0.22973723945942595
07099,-1.0169509798224958,0.7522696395955232,0.4258853090630948,0.2506462773103002
07100,-0.39574561877852493,0.22475751461446974,0.4086253462578473,0.5453651320071725
07101,0.1731446464383822,0.289276350916877,0.40893779844569594,0.17824907895712427
07102,0.6629093958085664,-0.13610802572564548,0.40038970923473266,0.1908073351734102
07103,0.28263752236183604,0.12735649088591536,0.40765723458097736,0.29617871178905625
07104,-0.510845318952144,1.28610354150878,0.4139025955662854,0.5943792104539567
07105,0.09939057830409435,-0.780415570521404,0.4600457759627339,0.4314660061709064
07106,0.3785230572269516,0.7449916157755557,0.40615352893487033,0.7333050105949569
07107,1.0724991692375125,0.15353101030696442,0.39976087635126506,0.18725013839518626
