,material,educativo,monetario
analf,0.4697732825613171,0.154113098004545,0.08967337278867271
sin_basica,0.43218452600781204,-0.056373692939541434,0.2141645948780945
sin_drenaje,0.20233940437497727,0.24446402328111494,0.09013111965375396
sin_electr,0.22084381880762055,-0.021599284272267465,-0.20215679775712395
sin_agua,0.1230450601547008,0.0046145483703504565,-0.004349897315218413
piso_tierra,0.35676743553703394,-0.07833194385567475,-0.4890724284522857
hacinam,0.2902651259132727,0.34272622573630507,-0.09626710618883264
loc_peq,0.0051759462830853215,-0.019058777588836052,0.0005336814527299682
ing_2sm,0.11765005414677304,0.22947060783464424,0.016951649354084688
rezago_educ,0.5668149533812412,-0.05225592585491335,0.290684601301335
car_salud,0.18668486662585884,-0.11009410024472609,-0.0026893285856957228
car_segsoc,0.15294802022040027,0.04452404214649371,0.1045137452461592
car_vivienda,0.39965473017708286,0.153126443762136,-0.28600147388460956
car_servbas,0.30921167916807085,0.24881355280681405,-0.14394092733902536
car_alim,0.16085483737895065,0.26237228838740073,-0.0890741574298952
lp_ingreso,0.15474726386832943,0.24625481596683207,-0.08111005522712131
lp_ingreso_ext,0.159930356062734,0.2315832194704681,-0.11358463112607399
