cvegeo,m_educacion,m_lineas_sae,m_viv_servicios,m_educacion_sd,m_lineas_sae_sd,m_viv_servicios_sd,lisa,loc_peq_pct,pct_60mas,log_pob
01001,0.00041867361595280693,0.18778087625384754,-0.013318932187425997,0.01412134201130765,0.2546424448142604,0.13498854233243449,ns,7.52368307358349,10.85227452344071,5.977261636065121
01002,-0.0026193338138722844,-0.26698031980708437,-0.016239226587665204,0.014588106288739721,0.25520641564838453,0.13510346267704018,ns,78.2210493635517,9.114017385904999,4.712110707475616
01003,-0.0011406697272439413,0.06279203306897249,0.002593894641883721,0.014193626493843266,0.2760861899608276,0.13486969677783867,ns,51.3012875536481,13.440343347639486,4.765295929698056
01004,-0.001539926293214004,-0.29076835613169266,-0.0183860088455685,0.014274377458181789,0.25583444445782105,0.13516109766336737,ns,65.4705882352941,9.488235294117647,4.230448921378274
01005,-0.0021310866781144356,0.022380408563031848,-0.0305612528419235,0.014436903952953722,0.270151059332941,0.13578517582577534,ns,37.1641434937543,7.554125714813475,5.113706095910036
01006,-0.0014231757652282424,-0.0756850466024247,-0.02179301697221647,0.014251047374863114,0.25583562557667494,0.13523792562157433,ns,32.7645552617219,9.404776896276708,4.678026446404655
01007,-0.001666549035472621,-0.12629505400638993,-0.023701207532492583,0.014300702048468191,0.25393930080097954,0.1353200221415477,ns,44.2852411581167,9.175687217835417,4.758677279754029
01008,-0.0011570303424335091,0.026683791005217547,0.05857580745168962,0.014201956064914083,0.2538861944336208,0.13830688525983698,ns,41.3002512562814,10.008375209380233,3.980094313785294
01009,-0.001375013751641392,-0.36413671489039745,0.004916914624484173,0.014247812652203564,0.2574384437096694,0.13484780781442623,ns,76.7622859684234,9.59750945074494,4.351892891903961
01010,-0.0017788862226262453,-0.2341411479996706,0.0092515376885993,0.014341266729813,0.27293996905804474,0.13490370992599984,ns,69.7549513259483,9.533400469956362,4.3191685432293
01011,-0.0024830591921914604,0.5208935284057046,-0.019197553163643317,0.014528392501004512,0.2558574450626141,0.13517159377434404,ns,41.1197315999161,5.787376808555253,4.792370674740704
02001,-6.796352757399912e-05,-0.5993668071543661,-0.0206375163498495,0.014109252956102365,0.26556490438266334,0.13518320248782004,ns,13.5700878985685,12.046452624676943,5.64719414791266
02002,-0.00011124586226193211,-0.4319931766883598,-0.05690898961507959,0.01410975419165737,0.2572750621967832,0.13786841100947925,ns,11.3945429189782,11.710319758580749,6.021103258878784
02003,0.0004877277241982363,-0.5103506034916172,-0.01655265026307011,0.014123592531929352,0.27378912709518777,0.1350810736113906,ns,20.4048321652527,10.637218738472889,5.035189508908448
02004,-0.0010824840816097588,-0.4914549926830618,-0.05482197583828775,0.014193416938860759,0.2571754467938158,0.1379853721076581,ns,1.70411485324233,8.805200249879976,6.283871544163109
02005,-2.8857741414758374e-06,-0.2776752028861591,-0.02419296326883223,0.014109049311101624,0.2642177205215616,0.13537721905936625,ns,15.7553786744424,11.26329892032469,5.1034273973827675
03001,-0.0001948978319749453,0.06612719933551928,0.012185525494206434,0.014115491889158744,0.28817820962432183,0.13495083665662647,ns,19.639555744238,13.214006929513427,4.863447776182979
03002,-9.062882448805245e-06,-0.4438366909256091,0.007983224364691805,0.01411396096864839,0.3593707863368234,0.13488251658776698,ns,39.3177345287557,10.529193089875355,4.80632923705892
