outcome,factor,modelo,estimador,r2cv_media,r2cv_sd,mae,moran_resid,mae_AA,mae_BB,mae_ns,r2_norte,r2_centro,r2_sur-sureste
rung3,material,M4_vistaD+lentes,hgb,-0.1078,0.2165,0.7541,0.3372,0.8138,0.8242,0.7435,0.1737,-0.0405,-0.1694
rung3,educativo,M0_vistaD,ridge,-0.0589,0.0524,0.6558,0.3841,0.6955,0.6616,0.6527,-0.0379,-0.0351,-0.1
rung3,educativo,M0_vistaD,hgb,-0.0675,0.046,0.6525,0.3815,0.6617,0.7097,0.6464,-0.0379,-0.0839,-0.0873
rung3,educativo,M1_ntl,ridge,0.0054,0.033,0.634,0.3701,0.6586,0.607,0.635,0.027,0.0356,-0.0157
rung3,educativo,M1_ntl,hgb,-0.0852,0.0862,0.6664,0.3586,0.6509,0.6689,0.6672,-0.097,-0.0043,-0.1564
rung3,educativo,M2_geografia,ridge,0.022,0.0262,0.6307,0.3467,0.6801,0.5912,0.6313,-0.052,-0.0402,0.0669
rung3,educativo,M2_geografia,hgb,-0.1082,0.0255,0.6705,0.3225,0.7123,0.6199,0.6726,-0.1421,-0.1633,-0.073
rung3,educativo,M3_lentes,ridge,0.0295,0.0332,0.6287,0.3458,0.679,0.5734,0.6306,-0.0607,0.0094,0.0565
rung3,educativo,M3_lentes,hgb,-0.1107,0.0457,0.672,0.3375,0.6495,0.6721,0.6734,-0.1281,-0.1359,-0.1074
rung3,educativo,M4_vistaD+lentes,ridge,-0.0064,0.0567,0.6388,0.3582,0.6998,0.5966,0.6388,-0.0383,-0.0532,0.0111
rung3,educativo,M4_vistaD+lentes,hgb,-0.0827,0.0964,0.6653,0.3921,0.6818,0.7208,0.6589,0.0574,-0.1325,-0.1352
rung3,monetario,M0_vistaD,ridge,-0.0249,0.008,0.7327,0.4003,0.8066,0.6193,0.7386,-0.0105,-0.0246,-0.0313
rung3,monetario,M0_vistaD,hgb,-0.0936,0.0329,0.7643,0.3741,0.8463,0.6044,0.7742,-0.042,-0.0412,-0.1456
rung3,monetario,M1_ntl,ridge,-0.016,0.0278,0.7298,0.4043,0.7837,0.6212,0.7366,-0.0155,-0.0022,-0.0152
rung3,monetario,M1_ntl,hgb,-0.1033,0.0392,0.7648,0.3755,0.744,0.6329,0.7786,-0.0886,-0.1392,-0.0985
rung3,monetario,M2_geografia,ridge,-0.0183,0.0246,0.736,0.4178,0.769,0.6348,0.7435,-0.0545,-0.0114,-0.0239
rung3,monetario,M2_geografia,hgb,-0.1503,0.0445,0.7825,0.3659,0.7757,0.7074,0.79,-0.1484,-0.1854,-0.1418
rung3,monetario,M3_lentes,ridge,-0.039,0.0467,0.7409,0.4128,0.77,0.6469,0.748,-0.0604,-0.02,-0.0434
rung3,monetario,M3_lentes,hgb,-0.145,0.1041,0.7773,0.3568,0.7563,0.6601,0.7898,-0.2318,-0.155,-0.0963
