modelo,eigen1,eigen2,eigen3,eigen4,eigen5
marginalizado sin γ_s (M−γ),1.804,0.628,0.371,0.087,0.001
"marginalizado con γ_s (M+γ, canónico)",1.23,0.501,0.344,0.001,0.001
