,material,monetario
analf,0.765618833436941,0.3994228824576749
sin_basica,0.5280064151787128,0.7204708359295855
sin_drenaje,0.4167351498577387,0.1465379019479531
sin_electr,0.5695657326724011,0.20895126435540695
sin_agua,0.5248324280548198,0.044117827679663844
piso_tierra,0.8175542324369885,0.20842861702919133
hacinam,0.8689888427643625,0.07847035601625903
loc_peq,0.285675438986565,0.6213089968065294
ing_2sm,0.6512786991274038,0.5540370762555697
rezago_educ,0.5477953369252958,0.6340342467586412
car_salud,-0.04038875993833845,-0.21851413868427338
car_segsoc,0.5898605783614371,0.43326939146161136
car_vivienda,0.8730082770853462,0.17836446353303592
car_servbas,0.8463785560218103,0.2956525485227913
car_alim,0.5445502948116434,-0.1553165655987642
lp_ingreso,0.7906227066309256,0.3189442843306498
lp_ingreso_ext,0.8031730302941342,0.3125150403504897
