,material,monetario
analf,0.24495862584519,0.2229005177481262
sin_basica,0.09569528288352053,0.29634091159207715
sin_drenaje,0.2688962392229777,0.0031400275385138187
sin_electr,0.4289439051260914,-0.04145038672870778
sin_agua,0.3399175122253424,-0.0333712252305389
piso_tierra,0.4013258120799892,0.0011841694623400476
hacinam,0.2675825046493522,0.059880063110863996
loc_peq,-0.004803463901452469,0.010178940464330986
ing_2sm,0.04084452065777251,0.05147156379055206
rezago_educ,0.16648707123798762,0.3757779024521166
car_salud,0.043495772332653525,0.06456040609785291
car_segsoc,0.08808861802314528,0.11911228588709671
car_vivienda,0.44244577411307834,0.06110159569862451
car_servbas,0.29998978048928093,-0.005688608406614015
car_alim,0.21466767882718418,-0.00456893197409618
lp_ingreso,0.08457458968065008,0.05207535986822552
lp_ingreso_ext,0.12608666440724897,0.040481962617572836
