indicador,factores,ruralidad,cofactores,estado,metodo,uniqueness
analf,0.17019545882219764,0.01655419887932212,0.5055589076540934,0.17844964825154702,1.1445330652277065e-05,0.12923034106218761
sin_basica,0.19263360224748577,0.0049786176088105856,0.6359969023191208,0.10799371056144094,1.1075942405897431e-05,0.058386091320736196
sin_drenaje,0.1492763541985733,0.09748528148822547,0.1374142574971698,0.3028187372038996,6.701430294339508e-07,0.3130046994691023
sin_electr,0.22530514325678316,0.03883455127340498,0.3106061230850171,0.10040125250725895,6.786965037528923e-07,0.32485225118103206
sin_agua,0.17788433612013885,0.042457906679023286,0.19816625570640803,0.09906821956890395,7.241076421197945e-07,0.4824225578178837
piso_tierra,0.2057704579470344,0.0018045486031273063,0.3836130377599013,0.26145728604843826,0.0,0.14735466964149874
hacinam,0.08657022983546028,0.0005456419475517465,0.5791188841132169,0.19068560704104764,0.0,0.14307963706272328
loc_peq,0.0007044162205393061,0.9520328672600347,0.005355018905717109,0.0033581089149363652,0.0,0.03854958869877256
ing_2sm,0.01013117942576248,0.0013493015769453225,0.6687993696397937,0.1252867977268702,0.0,0.1944333516306282
rezago_educ,0.31706619998307245,0.006093683439744808,0.5108952483272147,0.16441131208056683,1.0869160274133436e-05,0.0015226870091272114
car_salud,0.023514059663891716,0.0057672501156973,0.19520495482212943,0.2193172806744962,0.0,0.5561964547237853
car_segsoc,0.033841864684206614,0.005566001448613401,0.5758983792952181,0.09096672100655218,0.0,0.29372703356540963
car_vivienda,0.2665289174483683,0.001479696780018206,0.46176461470057334,0.1973293003957319,7.956480177267213e-07,0.07289667502729044
car_servbas,0.11398682309235755,0.0231226772541863,0.41807128447679054,0.27354603847253833,8.658391370843613e-07,0.17127231086499026
car_alim,0.04314513540195425,0.0005153564191649182,0.21678272099782653,0.13631095883927138,0.0,0.6032458283417831
lp_ingreso,0.024376811348048727,0.04305520508779212,0.6200092944868941,0.16356820592166618,0.1464344916483204,0.0025559915072784034
lp_ingreso_ext,0.02562999477240962,0.023736284559920284,0.62106044604983,0.15911507143802242,0.15291718942764557,0.01754101375217222
