indicador,factores,ruralidad,cofactores,metodo,uniqueness
analf,0.3486712517908591,0.014739973915747705,0.49725393193107076,4.5086335756640876e-07,0.1393343914989648
sin_basica,0.2653556508976063,0.0012368148877328932,0.6685485102164525,3.860511256495732e-07,0.0648586379470827
sin_drenaje,0.10635460349898995,0.1350256938775503,0.10890366825064939,0.011226899424993872,0.6384891349478166
sin_electr,0.08776361613215806,0.038545432697228994,0.21749974938375088,0.01363550202725958,0.6425556997596025
sin_agua,0.05495204235239077,0.05264773075370673,0.22759993120916722,0.01249310104401039,0.6523071946407248
piso_tierra,0.1499240220000298,0.00029406319316481157,0.519920850695473,0.0,0.3298610641113323
hacinam,0.24164660523308124,0.00033474150302998686,0.6035193471619886,0.0,0.15449930610190013
loc_peq,0.00014027366365062656,0.9478758266990349,0.009627250229258788,0.0,0.04235664940805564
ing_2sm,0.0415972968831333,0.0013638340443683549,0.7058517779523549,0.0,0.2511870911201433
rezago_educ,0.4706815242258734,0.0014396732027925263,0.5269218367805351,3.9476486876137224e-07,0.0009565710259301999
car_salud,0.031910806685045284,0.017032883415121283,0.11571809963694547,0.0,0.835338210262888
car_segsoc,0.03648629203380924,0.016613632869812173,0.5266966704622407,0.0,0.4202034046341379
car_vivienda,0.3162650067808337,0.001752867942154287,0.4627626352011138,0.013879132636572904,0.20534035743932513
car_servbas,0.33460472521230994,0.013276917754988375,0.471995925218779,0.01594734962338994,0.16417508219053278
car_alim,0.11582516198542783,6.651681464642529e-06,0.16105921389326391,0.0,0.7231089724398436
lp_ingreso,0.06785400989649157,0.04985088588561889,0.685319187530151,0.1881455365094932,0.008830380178245313
lp_ingreso_ext,0.07993772005060826,0.03008251242176678,0.6698947628441546,0.20299133185237642,0.0170936728310938
