,material,educativo,monetario
analf,0.25635534578614827,0.04341177542255414,-0.09089518737208412
sin_basica,0.2194118809674999,0.05657921200072613,0.1957556712354487
sin_drenaje,0.36936173711884673,-0.2124921397467396,-0.12171871696879556
sin_electr,0.4278741635570313,-0.09718861855484939,-0.2487476233439418
sin_agua,0.38017591968284703,-0.1333784714155397,-0.14867084440852046
piso_tierra,0.2705142588737809,0.21388635527078706,-0.21471702473193313
hacinam,0.22237577891447918,0.16786016621359415,-0.08417217893141189
loc_peq,-0.018254091117965086,0.028368270945909293,-0.0024980712253297394
ing_2sm,0.03977935215716795,0.0935262894164917,0.04861241673490711
rezago_educ,0.2931552345769799,0.05625200957910954,0.14609257710761198
car_salud,0.18537478457612883,-0.07815567792263624,0.158233407263951
car_segsoc,0.20125890126695048,0.024366922058529115,0.15647062590374222
car_vivienda,0.3050367986711543,0.32015990461085503,-0.238589642272284
car_servbas,0.2515466692820484,0.038115032587474444,-0.1763146028156172
car_alim,0.20975160794342915,-0.02509249062494939,-0.12395887219679604
lp_ingreso,0.03671174337452106,0.15296180842872015,0.021993113540976546
lp_ingreso_ext,0.07898291669573942,0.1350099730760574,-0.003890218267405068
