,material,educativo,monetario
analf,0.6553841712668973,0.2343865493711192,0.13557386719791858
sin_basica,0.6026601697961423,-0.09814601499088021,0.3312979035663826
sin_drenaje,0.2576275182991086,0.4284624549325024,0.10962269104048253
sin_electr,0.3679587808366105,0.04845524594697582,-0.2929159307342792
sin_agua,0.26152501837947206,0.09196913632842399,-0.12610428904359425
piso_tierra,0.6305947584232416,-0.102052179083792,-0.7109225099980919
hacinam,0.3965553105339407,0.4654790939984535,-0.14469970211496863
loc_peq,0.008397139529932289,-0.023220525898595523,0.004045036066546449
ing_2sm,0.14878530933578588,0.2762618331986163,0.0012973792760896333
rezago_educ,0.783344950658193,-0.0710069621918817,0.44837998528450007
car_salud,0.29050382702623584,-0.17860746777633624,0.0031043351035236954
car_segsoc,0.20479889733765422,0.03093236916507932,0.14816547956131162
car_vivienda,0.6169355389785236,0.24456098815825617,-0.4083213624559923
car_servbas,0.45813324674317596,0.39178945544251775,-0.22973692132046003
car_alim,0.21847974658327113,0.3726113421369137,-0.14138567612769454
lp_ingreso,0.22123850761308503,0.28401114812218325,-0.14338322187406846
lp_ingreso_ext,0.23520269788505704,0.27432506539908186,-0.1885289366270493
