indicador,factores,ruralidad,cofactores,estado,metodo,uniqueness
analf,0.12800639537662553,0.017471256674721273,0.5275743902590442,0.18487630795953272,0.0019484925197882372,0.14012315721028792
sin_basica,0.1223943434563812,0.005825308549489915,0.6927412776770209,0.11767472775423332,0.0019739206223407077,0.05939042194053398
sin_drenaje,0.06150650676703816,0.09705870602392752,0.13566704464007173,0.29961673819575557,0.00019908877665479456,0.4059519155965522
sin_electr,0.15280753951485032,0.038674366012313374,0.30934721300405094,0.10014678312132527,0.0002021834772695054,0.3988219148701907
sin_agua,0.10007224771182961,0.04238317145331979,0.19906735871155049,0.09796005088034548,0.00021585647868512697,0.5603013147642695
piso_tierra,0.2004268076384948,0.0017714299654513327,0.3873385030208161,0.26306651113001106,0.0,0.14739674824522664
hacinam,0.07984639993149274,0.0005685272492906584,0.5798968595197437,0.1915888411274318,0.0,0.14809937217204117
loc_peq,5.243995909890959e-05,0.9519802996591744,0.005316140520079614,0.0033160938998973845,0.0,0.039335025961749724
ing_2sm,0.0033519688449018545,0.0013089624654757015,0.6673232022616149,0.12525392609126143,0.0,0.20276194033674624
rezago_educ,0.21777589977135062,0.007348807082427303,0.579721266353985,0.18733824144402614,0.0020192529201029374,0.005796532428107874
car_salud,0.010201994116882527,0.005519641212563814,0.19689666606619227,0.21931206512721782,0.0,0.5680696334771435
car_segsoc,0.0218147588334667,0.005803113533531945,0.5787608798296016,0.09164982164182142,0.0,0.3019714261615783
car_vivienda,0.2331373390254095,0.0014718381247593693,0.46535524907586073,0.19859317504334453,0.0002399968728435812,0.10120240185778231
car_servbas,0.10346980669766413,0.023197553683818883,0.4234587617722351,0.27447687763809503,0.00026193021295561626,0.1751350699952313
car_alim,0.03646136206530107,0.0004861045786897393,0.21708501328866536,0.13498255475411272,0.0,0.6109849653132311
lp_ingreso,0.009238894351498269,0.042722030976116245,0.6155615159044807,0.1630385505888223,0.16243852787899932,0.007000480300083281
lp_ingreso_ext,0.017220998107810106,0.02362706478796979,0.617458558044678,0.1584695708378627,0.1697280893487113,0.013495718872968028
