,material,monetario
analf,0.36898286131510105,0.27337004081253236
sin_basica,0.15677446163251305,0.3570160261911355
sin_drenaje,0.291396290489949,0.04907567889723154
sin_electr,0.2794841773478774,-0.018240392466564125
sin_agua,0.22529231723374743,-0.016974705886480566
piso_tierra,0.36562433230873076,-0.012631914217117969
hacinam,0.42518659655839164,0.061888906665166596
loc_peq,-0.00550979874000152,0.007442943109064618
ing_2sm,0.17562309204139806,0.08186899737260368
rezago_educ,0.227474621400786,0.4554727336980101
car_salud,0.047739118475794345,0.12358364560060617
car_segsoc,0.0685381405232556,0.1447137354666573
car_vivienda,0.496154074671865,0.040774432198331836
car_servbas,0.44611650562683614,0.04226176056815304
car_alim,0.3091186213590851,-0.017454987826493632
lp_ingreso,0.24923020885051075,0.12323843021629989
lp_ingreso_ext,0.2648093024840786,0.10696334949793412
