indicador,factores,ruralidad,cofactores,metodo,uniqueness
analf,0.2719747950311695,0.020492349436579238,0.5770318178857271,1.8164279308873318e-06,0.13049922121859325
sin_basica,0.25078074391219446,0.0030787440000216355,0.685589498415197,1.7145469324934145e-06,0.06054929912565442
sin_drenaje,0.12186362248582606,0.14565961451080608,0.10856006536997072,1.1223493336425282e-06,0.6239155752840635
sin_electr,0.22978641584580828,0.04313934259800967,0.27187952145449734,1.3331988141953488e-06,0.4551933869028705
sin_agua,0.13959297537367474,0.05343841045180926,0.25863953456996125,1.1534000103131918e-06,0.5483279262045445
piso_tierra,0.13936151481133732,1.387628614730389e-06,0.6193936161885879,0.0,0.2412434813714601
hacinam,0.16946488161479806,2.5998878278962945e-05,0.6997958580201297,0.0,0.13071326148679335
loc_peq,8.76757635699438e-05,0.9481154116427283,0.009377450887331664,0.0,0.04241946170637008
ing_2sm,0.0666302280481578,0.0006826577058760468,0.7554049878827513,0.0,0.1772821263632148
rezago_educ,0.4329516521270697,0.004278127338207316,0.5617391848933593,1.717874554107185e-06,0.0010293177668095638
car_salud,0.03160682698624852,0.015449025806345803,0.1156073664995985,0.0,0.8373367807078073
car_segsoc,0.039968513396184,0.018267852632892316,0.5392355886876171,0.0,0.4025280452833066
car_vivienda,0.25775158395092057,0.00014310728286526508,0.59852994867313,1.1528898700466521e-06,0.14357420720321412
car_servbas,0.22756384027676485,0.016359024400951716,0.5932659435899023,1.2714324238127717e-06,0.16280992029995733
car_alim,0.08068113677431658,0.00029446811181900223,0.2276078598909318,0.0,0.6914165352229327
lp_ingreso,0.07806112012298402,0.04230489308864127,0.7691467272634837,0.11016481874436791,0.0003224407805231018
lp_ingreso_ext,0.07803226038868083,0.024279108704124475,0.7589904174943344,0.11754038849591733,0.021157824916942913
