indicador,factores,ruralidad,cofactores,metodo,uniqueness
analf,0.2268103610220375,0.02272667250164084,0.6037229300869,0.0019161854759857007,0.14482385091343603
sin_basica,0.17223472756949867,0.004010261902063714,0.7592170096757093,0.0019162932981090183,0.06262170755461927
sin_drenaje,0.08108247900099493,0.15141195582548259,0.1116465985452642,0.006722114708155992,0.6491368519201023
sin_electr,0.07441834234191907,0.04260491970562393,0.2728044067794734,0.007706300936335118,0.6024660302366485
sin_agua,0.04515440431283663,0.05606964080620258,0.27363085680823535,0.007040308457996275,0.6181047896147293
piso_tierra,0.11157030980130302,9.892991693402703e-07,0.61623237639319,0.0,0.2721963245063377
hacinam,0.16161656378281614,4.0843575443809094e-05,0.7019540041211803,0.0,0.1363885885205598
loc_peq,6.987287113013536e-05,0.9481435049065912,0.009372782075199877,0.0,0.042413840147078836
ing_2sm,0.03355262849974527,0.00058125287878043,0.740766265025947,0.0,0.22509985359552728
rezago_educ,0.3249983518042401,0.005900911389250442,0.660299341029498,0.002042560881198574,0.006758834895812751
car_salud,0.01892454375361146,0.0152119832541931,0.11605111797895931,0.0,0.8498123550132362
car_segsoc,0.022489637614890392,0.01889011597646554,0.5397686418769932,0.0,0.41885160453165077
car_vivienda,0.21713742919143347,0.00015084926279887993,0.6157669159628204,0.006843996529512998,0.16010080905343427
car_servbas,0.19872090585978555,0.017321624325290212,0.6217510715871442,0.007691656651787464,0.15451474157599251
car_alim,0.07893358240466367,0.00031431801658985764,0.2292806221351921,0.0,0.6914714774435543
lp_ingreso,0.07304300486216138,0.04383493305435621,0.8110831911816383,0.06653124301834316,0.005507627883500923
lp_ingreso_ext,0.08310296620800578,0.025043181627459235,0.8023102369970732,0.07111690214162397,0.018426713025837736
