cvegeo,eje1_mean,eje2_mean,eje3_mean,eje1_sd,eje2_sd,eje3_sd
01001,-1.6313414887269972,-0.2289987911209729,-0.30810817982036387,0.4091202730671779,0.35183876103613654,0.6210939146234244
01002,-0.4099445793959465,0.015876774357092414,-0.34728209054852166,0.4045368880089731,0.34592335592137136,0.6194701595705494
01003,-0.260511397231136,1.1568186528698223,0.3955438597088801,0.4062824871681288,0.34482137011857783,0.6196371613623529
01004,-0.4051479698145986,-1.3338202244617294,0.39225800799960187,0.4063958031675917,0.34734389207046734,0.6211491725232409
01005,-0.2494706315819291,0.7836648023951621,0.3008600008509218,0.4055628426319593,0.3455063688324908,0.6194408616890813
01006,-0.2417200979242878,-0.45541297070041875,0.1886045570136617,0.4047813141822363,0.34417102554885637,0.618904269033153
01007,-0.3683996124795228,-0.7004735439651416,0.3904211928841219,0.4049207285525711,0.343908900911515,0.6188546171192998
01008,-0.5491362901723248,-0.5506451605522584,-1.0782724694282715,0.40922337110621715,0.3490465549719614,0.6254407183992687
01009,-0.3254161553577991,-0.09312804666530433,-0.523514190870917,0.4056096016795123,0.34673044579785967,0.6204664389655574
01010,0.3599253670641085,-0.10456631884947962,-0.6589424800842261,0.40536860439008815,0.3467324314535078,0.6207415926500313
01011,-0.7892884206806857,0.7909627734125794,0.6682458443912237,0.40661960516459417,0.3457024789439513,0.6216408875249345
02001,0.0842486881721357,-0.26120806018405396,-0.4738051067829849,0.43624954342568373,0.4414695669758673,0.661289770293148
02002,-0.8562292323153397,-0.21686624921546027,0.12136629108792453,0.43747105168061856,0.44287349451632674,0.6606146676483055
02003,0.19753553868280432,-0.5229914106176572,-0.21596761351864152,0.43691520372143444,0.44385581678747954,0.6611529692471249
02004,-0.6180782494152273,0.42109475901354904,0.25118274130606905,0.43852037523809656,0.4454854348002917,0.6614966513699114
02005,0.18113572150826746,0.16941670972206307,0.29376664218469123,0.43733451628609976,0.44254467457612895,0.6607926843716296
03001,0.166863456323345,0.28833391625508686,-0.19027321190006946,0.4343734924550843,0.43944476684814326,0.6544098249386667
03002,0.4173488741812273,0.1454307736169573,-0.6307228188580608,0.43322220757274416,0.43920284528504666,0.6551906207118473
03003,-0.6979404871328952,-0.6075312835019415,-0.6332621718279501,0.43577480645836325,0.4396608699598645,0.654308583589185
03008,0.7889236343637616,-0.32420679500136235,1.2227363549022003,0.436563386944119,0.43885476123877865,0.6569410982052766
03009,0.7803155486188993,-0.5610526613361352,0.257470359160484,0.43499183839076655,0.43993481037844184,0.6559565737995005
04001,0.5163688047739203,-0.11863599745187606,0.09560854181259082,0.41001586384164684,0.3555059858320591,0.6242165199448519
04002,-0.6055521855227204,0.2601518729247544,0.5198096147965126,0.4102800490382884,0.3551720728746404,0.6233036598108386
04003,0.712694161120327,-0.03005632921658576,0.8849961294773517,0.40967023915073,0.35395708249493024,0.6261894836719382
04004,0.10019755933754379,0.0904100027536474,0.0833756867374153,0.4081403254819702,0.352563166264542,0.6219751792492227
04005,0.1019984789915094,-0.5462070200009093,-0.28061586215893813,0.4098224820233469,0.35435238390387885,0.6239407730782129
04006,-0.38190064242034405,1.6599009741775972,-0.858571919540019,0.4094018513323081,0.35690124667659956,0.6240292626916358
04007,0.8314961677008802,-0.607806772928127,0.6353353839632128,0.41135709812539745,0.3569542628433129,0.6245596229236725
04008,1.0599571397465137,0.6892270954983701,-0.7024628632953899,0.41285857835816964,0.358326064223213,0.6247960021408324
04009,0.20789918094861,0.4080791545183522,0.6119956151194879,0.4094538113611744,0.35328783448087364,0.6219953356940209
04010,-0.8012699797000835,-1.5269575895908254,-0.4221998025380871,0.41256369560753436,0.3552155292870108,0.6274470637606456
04011,0.44849519904560975,-0.6627435391605163,-0.49542273498139017,0.4106531750820108,0.35356137840602686,0.6244895338802522
05001,-0.809843000437289,-0.16478195685192482,-0.2393537838064386,0.36644460118446665,0.28422207074922573,0.5980978267985849
05002,-0.12610555098600665,-0.3159911656251749,0.8394307619226927,0.36674031414956276,0.283729084217714,0.5944035430521329
05003,-0.24913881872589969,0.30722336222975455,0.24879330752440423,0.3635531470611046,0.27883248512670267,0.5920678262671236
05004,0.43791496656769174,0.6264925355531631,-0.7431632850393142,0.36389854055066806,0.2812695858772536,0.5933473455884671
05005,0.5404015851439266,1.3859755294795137,0.7968387711805116,0.36768790196200957,0.2863720289598153,0.5957500965544238
05006,0.11730488413468486,-0.656909553266999,-0.9145413354703609,0.36406230963958636,0.2782250072715762,0.5970626081191717
05007,1.027939930959287,-0.29568659136265474,-1.0044124533786336,0.36450289454020807,0.2808640349132099,0.5926858231120923
05008,-0.47460631552803,-0.09846887283630325,-0.8675199281202151,0.3629833950115912,0.2788418110535686,0.5953367804542578
05009,-0.12224380012841124,0.4010507353394395,-0.4369071165041419,0.36213982645904436,0.277219360390299,0.5934464176437336
05010,-0.6239830689912584,-0.3424215835358881,0.3037984900394354,0.3619740717373429,0.2767325812554602,0.5915759325077696
05011,-0.03208455814873206,-0.8616074459246259,-0.3586507310899649,0.3627904260844677,0.27828817180092513,0.593696900984048
05012,1.4295100730619317,0.4687338238896817,0.8688023546145776,0.36450474575373476,0.2827327115364214,0.5979519333525867
05013,-0.006648104420683536,1.784625787896773,0.27734705187756625,0.375754338357825,0.29677245414239306,0.6012793534258207
05014,1.1020973760531154,1.031046359156477,0.6914538397138449,0.36450662322078775,0.2841605434023668,0.5965249099750101
05015,-0.47264132610801896,-0.13936232010116217,0.008387394214798905,0.3663446701147716,0.2834260727999285,0.5966301530930416
05016,-0.39366516147832725,0.2933878397807339,0.09709041621243077,0.364561072637107,0.28218001145513394,0.5976051282340618
05017,-0.06258390730640903,0.4823348829409685,0.15128050443014024,0.3616182641249356,0.27769533785509165,0.5918576597718723
05018,-1.0158573553545267,-0.6612100931203142,-0.2189272203900808,0.3636866183331806,0.2799781778621696,0.5929536791368402
05019,-0.12690097983015508,-0.08211725166746815,0.009548984030167617,0.3626204121472536,0.27862763556843045,0.5922405058991533
05020,-0.018462567006526178,0.005748024581015584,0.40548224324228427,0.3624634910780445,0.27766206845552394,0.591896684392495
05021,-0.9834190476852016,-1.1796852797497996,-0.3812279470641744,0.36307871400451586,0.28090182371845884,0.5963095017861506
05022,-0.0880281118564251,-0.5407919728998442,0.6637641428238188,0.3642094723003083,0.2802146570537825,0.5926075822024631
05023,0.720593719028699,0.16619888353077344,-0.23728100703797414,0.3631543042586225,0.28146957018044144,0.5951061627857474
05024,0.17309227552192447,-0.7457564935364106,-0.6046134599478092,0.361995801940597,0.277821149170287,0.5933142618847443
05025,-0.934498719416851,0.8222678959840619,-0.17229297900350615,0.36253282405791326,0.2785536857838148,0.5937297557594183
05026,0.2852885078093093,0.36408586302347856,0.30039829390140815,0.3639502372167278,0.2810118821744013,0.5978730173406079
05027,-0.6939844369576441,-0.4812621666606516,-0.6066186799208992,0.3642297702288935,0.2810038172162281,0.5939927919772765
05028,-0.6732421531687963,0.07279002041872461,-0.1844206668133853,0.3621361330307885,0.27681745089459453,0.5937475285892303
05029,-1.0909111901050008,0.15257287744554587,-0.8004994882880226,0.36413494649571154,0.280748948729989,0.599618792723988
05030,-1.3549309776947058,-0.7064953228810883,-0.28729445092349004,0.367699950849098,0.28607025950591597,0.5936266921001725
05031,-0.8294506372760329,-1.2482278375301101,-0.7208712123890356,0.3625695792070912,0.2781119360159266,0.5951873763378304
05032,-0.5438399603456902,-0.3835079430676949,0.4947128392967476,0.3625959121689867,0.27799108101493863,0.5936283155548793
05033,0.3191958194232507,0.10087571299443022,-0.42719657370351105,0.36275861569089624,0.2782845539140327,0.5955303240815064
05034,-0.22141025159698197,-1.9134542656958187,1.4524537391840904,0.3675635046233383,0.2867204197540731,0.6029578942984886
05035,-1.2377489473267718,0.5018406241249539,0.3148605148125054,0.3684947892152267,0.2869801275514845,0.5965858985965652
05036,0.6010876232141987,0.37988280766905935,-0.13257119558620978,0.3635577837822019,0.28079973935353025,0.5950621065929687
05037,0.37668205987165115,-0.4584993442910455,-0.037700793496831135,0.36547167397916225,0.28172771897070575,0.5996389952938245
05038,0.44381835654629154,0.20262747815892485,-0.010217326299470017,0.3628681180814132,0.278578288409277,0.5928543076512903
06001,0.27891735519986793,0.41589543752145464,0.4571871390012469,0.4061327949356042,0.3558554603670935,0.6239654321309691
06002,-0.2678778492811182,-0.17115294467238157,0.45106382880933216,0.4087781650824287,0.3561864735213401,0.6245649771675431
06003,0.6619119985239136,-0.3756725342766543,0.4644185457783899,0.4057532724089885,0.3549551163660786,0.6256950968690581
06004,0.7748327103830843,0.15642912521695046,-0.050052876105232194,0.4059003102354141,0.35736450232216804,0.624625737618242
06005,-0.3553014577989638,-0.4188950220408104,-0.7810997809929432,0.4068725125313391,0.35861466873465553,0.6273077788871854
06006,0.5179654994227593,-0.06221278995374384,0.2021977386006589,0.4106471937329603,0.3592271251877758,0.6248030185514556
06007,-0.6200280971228592,0.7954084280599648,0.31989072918365163,0.408935291575484,0.35649688963074116,0.6256136625317953
06008,0.8796866648570151,-1.135302269162009,-0.36888995729387636,0.4102682840026748,0.3644756267307946,0.6311905016102292
06009,0.4010271901762945,0.9133937432429338,0.5352104413598426,0.4069185440432463,0.35707298798214765,0.6247119689278592
06010,-1.6669632654442517,-0.5208942027264797,-0.5414973683058356,0.4085516080955771,0.3564037648099134,0.6248097652931127
07001,-0.25536687141368974,0.26654707249561094,-1.599569461998291,0.3401475330180126,0.24434570815001408,0.5846995729406675
07002,1.5876793972258725,0.3531433956627125,0.8824923517296134,0.3423137683700948,0.24628691952268159,0.5898652861875516
07003,0.42837288397567896,-0.1650365862885115,-0.931221452717272,0.3413764348020774,0.24265600056927877,0.5863252443369268
07004,0.17685854565439144,1.7356325413540135,-1.4432331243943235,0.34096309635525285,0.2449110019648728,0.5878677343217003
07005,-0.32698139333591475,-1.1215629878679536,-0.27145751295369286,0.3432168062294773,0.2447125220361039,0.5881464800375077
07006,-1.6338933349895568,0.6054504052858268,-0.5801164966691802,0.3414945146524486,0.24461429646249946,0.5864539776794889
07007,0.5399502023514945,0.9815101628030982,-0.2955528951463294,0.35374195277012277,0.26295932654256526,0.5974426887005009
07008,0.588547826032497,0.5561761839426348,0.33047702124799594,0.3415052141300821,0.2431491122165431,0.5854757123313975
07009,1.1383481661274535,0.1074974709759283,-0.8209687752537549,0.3417905224264697,0.24579855332796333,0.5857384674421501
07010,-2.0386643836994165,0.4138105139315307,0.04684925790148641,0.344815412041097,0.24762086411450182,0.5913019903745093
07011,-1.4621869025993675,-0.49462778548587993,-0.8826891848849696,0.34360995171827263,0.24560338432536086,0.5882696021732244
07012,1.5808732763272233,0.6419907297564312,-0.3133999442228078,0.34328630653168174,0.24909366171276487,0.5863339396124259
07013,0.4461482047545268,-0.3854780985480477,0.8429841129763033,0.3428338406137112,0.24550832837889053,0.5856423737934192
07014,-0.43789580554803675,0.2632745428619581,1.149816055700845,0.34578291411080486,0.2471780604709646,0.5868930458251098
07015,0.326552762070537,-0.07030875011386375,0.7725624963504195,0.34150668464276823,0.24348643400687817,0.585625079245945
07016,1.167111242400882,-0.4639360736406627,-0.8868862329526257,0.3457838411551653,0.24889291375000042,0.5881320572318721
07017,0.9029582267847366,0.051246782828256815,-0.5256956689338264,0.3407226342833953,0.24237993423549742,0.5846474234403798
07018,-0.7059294743567504,-0.10179263661464844,0.7704576121874671,0.342264046399831,0.24300709989750433,0.591671464690852
07019,0.17888473746884068,1.7525304408444606,-0.7605249710461993,0.3436957732163825,0.24745913765450273,0.5905914482669093
07020,0.9840649383115418,-0.3861400606636634,-0.7043465637167609,0.3423687544005454,0.2435530783939841,0.5855107275349795
07021,0.378602431701939,-1.040887187172814,-0.043580331523971526,0.3421480450750183,0.24392530483156274,0.5856629013709002
07022,0.881241224605341,-0.36221350095425164,-0.2490800621612595,0.34968873650599447,0.2563280484091382,0.5907428447232707
07023,-0.6949994281682822,2.4671905273407453,1.712217551073121,0.3468589913215219,0.2567692466698566,0.5904897031383424
07024,-1.6847224533809009,-2.3096442497053777,0.29897876322956973,0.36604184643950505,0.28160514902203915,0.5976755406103953
07025,-0.01951844332746982,-1.4872633893363585,0.7242881426522411,0.3416082283309586,0.24489223540593738,0.5885111948381748
07026,0.08087813779761865,1.0102296291725714,1.1959647004232723,0.3448190151193391,0.24873584410746627,0.5875186372231562
07027,0.6028432816315806,-0.0038639002129958575,0.26499193375307367,0.34147949536082783,0.24446677583177015,0.5844323796934215
07028,0.7985676212978817,0.9256904094160787,1.487989403134119,0.34629399582824544,0.24946433749963812,0.596709083093181
07029,0.9221963178551292,-0.23638888996193597,1.3701202730497613,0.34570118550766266,0.2509943767988502,0.5889873631221935
07030,-0.048178043429336626,0.1019135169724423,-0.7188121598306961,0.3411725872501099,0.24300571112917227,0.58507747819996
07031,-0.5590365238837385,-0.36273150998328724,-1.5132491055957773,0.34896809136624457,0.25379227542790106,0.5914703225752711
07032,0.5636174740286256,-0.22994887741611922,-0.39418502655340865,0.33990665099260964,0.24244636255827878,0.5841392283519462
07033,0.42422745998622274,-1.3477734994200772,1.118371883932992,0.35181830377564277,0.25448825301888484,0.590750130114154
07034,0.0709032917122928,0.9948701045657729,-0.24398800923084493,0.3433130164313523,0.24601351077127365,0.5878027457395532
07035,0.6312526343253977,-0.36518164005240483,-0.3985463702881556,0.3412812357435367,0.24423162059873785,0.5853366058063731
07036,-2.5831834883470757,-0.5454526358300009,0.8550101344250622,0.34461143205319517,0.24813366890079408,0.5911265985546523
07037,1.259071450309222,-0.48753669012395917,-0.9757088319436351,0.34042968278708685,0.24297866065235305,0.5845269665613143
07038,-1.3958586995975533,-0.5047913766110049,-0.4056040466423785,0.3437959306489482,0.24678423289968782,0.5941214862727369
07039,-0.31986748663800396,-0.6006884961703153,1.0085595260744202,0.34301732257672735,0.2442067750595159,0.5858299393411548
07040,0.9459833538579835,0.20621565028804237,-0.12875888311980332,0.341193690269878,0.24485297962485458,0.5846359869338651
07041,-0.6961423994736309,1.4895882143458412,-1.149072739768693,0.344870317491238,0.2495450191175464,0.5938303683221464
07042,-2.257544305110939,-0.460558952549466,-0.16673866196720258,0.34289731999706485,0.24491770886170194,0.5869517799630465
07043,0.11252060033608921,-1.1890674321037464,-1.1495154294177015,0.34156687945710973,0.24764078264105055,0.5875223179477856
07044,-0.18787979200380217,-0.6328239451826451,0.1315618521528265,0.3443920523408588,0.24505022630256126,0.5880430414717084
07045,1.0880982319745487,0.004195250376661647,0.22452792382605627,0.34240356829081464,0.24570352880640906,0.5864892435487163
07046,0.9280696586511913,-0.44466832617206165,-0.6060054556141281,0.3432525520854114,0.24534532844104548,0.585403939156743
07047,-1.8680375706289076,-0.14035166184400363,-0.33707056729239765,0.34290443378602475,0.24490894705217942,0.5907555847287195
07048,0.7171223425393856,-0.5117457246102267,-1.0145784749744595,0.3426139316098304,0.2453463506315169,0.5866488680095957
07049,-3.351838056721071,-0.24128227498410426,1.5355522327138087,0.35219861253186496,0.2604408250390688,0.5974647286840411
