indicador,factores,ruralidad,cofactores,metodo,uniqueness
analf,0.35037991687258374,0.013909801297058958,0.5024366907174784,3.5015032619919665e-07,0.13327324096255264
sin_basica,0.2690357977291014,0.0012604763520108462,0.665371110317405,3.0496195025264434e-07,0.06433231063953258
sin_drenaje,0.15541025804661027,0.13412676882818791,0.10926930839911675,0.015420256621160797,0.5857734081049243
sin_electr,0.14479460790985174,0.04005243620231118,0.18860653127824237,0.01815319682655566,0.6083932277830391
sin_agua,0.05600492583608752,0.052932745964312064,0.2228428573004741,0.016502471245197235,0.6517169996539292
piso_tierra,0.616894362151198,6.62344942377072e-05,0.38233208269957136,0.0,0.0007073206549930088
hacinam,0.26664589499787517,0.0005459366377738468,0.6019597792386054,0.0,0.13084838912574556
loc_peq,0.00033030936161401107,0.948094595036975,0.009436903845399039,0.0,0.04213819175601191
ing_2sm,0.05651807102324593,0.0015884267156104838,0.7172000518208514,0.0,0.22469345044029207
rezago_educ,0.46856900557724024,0.0013736439982914173,0.5285964990122631,3.0826968546513037e-07,0.0014605431425197548
car_salud,0.0557803466946604,0.016086303393993927,0.12244065409363475,0.0,0.805692695817711
car_segsoc,0.03813708131853544,0.016022125348744486,0.5290908067676405,0.0,0.41674998656507967
car_vivienda,0.4138579868409912,0.001535892989410598,0.4041732914351925,0.018698796026213365,0.1617340327081926
car_servbas,0.3281949390047274,0.012923863815494133,0.4618916146096279,0.021048787233953366,0.1759407953361971
car_alim,0.1216500568412328,4.76871927725189e-07,0.16147766875372024,0.0,0.7168717975331191
lp_ingreso,0.07504611346367798,0.05104734503121121,0.6833231850600274,0.18277201402103935,0.0078113424240439325
lp_ingreso_ext,0.08972469167731764,0.031039989879463832,0.6630741024282804,0.19860753843573337,0.01755367757920482
