indicador,factores,metodo,uniqueness
analf,0.7455045735382246,0.13234803155818503,0.12214739490359043
sin_basica,0.8201134589733893,0.1434806668979009,0.03640587412870982
sin_drenaje,0.19738023498915994,0.022655746659484152,0.779964018351356
sin_electr,0.3814432132940517,0.023198370209848773,0.5953584164960996
sin_agua,0.2820363560208832,0.023294962367735542,0.6946686816113812
piso_tierra,0.6981288257857048,0.0,0.3018711742142952
hacinam,0.7459573649177239,0.0,0.25404263508227615
loc_peq,0.43012639162616,0.0,0.56987360837384
ing_2sm,0.7178250267573272,0.0,0.2821749732426728
rezago_educ,0.7770586323683838,0.1522754595068472,0.07066590812476892
car_salud,0.040443812198756354,0.0,0.9595561878012436
car_segsoc,0.5199483050563889,0.0,0.4800516949436111
car_vivienda,0.79306313801185,0.02254585657348381,0.18439100541466613
car_servbas,0.8225371061726389,0.022910441499092715,0.1545524523282685
car_alim,0.2902244900553861,0.0,0.709775509944614
lp_ingreso,0.7448565600067044,0.2297433719026657,0.025400068090629904
lp_ingreso_ext,0.7615677155293852,0.22991627416446977,0.008516010306144994
