,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
analf,-0.47199490450073184,-0.38161341345572,-0.05713768659340619,0.302963392468639,-0.5238796096938413,0.1351033302299182,0.3667680707021887,-0.16823533843727292,-0.2593833567263539,-0.7499734137966962,0.2850434650221459,0.48676905607230236,0.3010253109596794,-0.1064666700651021,-0.14492885579938794,0.2680781245683558,0.15691756820315653,-0.1582746389920873,-0.3483606996904985,0.3089566353461974,0.311906374037615,0.1338124185919119,0.17311386293557027,0.07078934016386249,-0.08467378661493108,-0.7012877883874332,0.09582806258347276,-0.194025812856672,-0.27410160614938717,0.7004842237934876,0.9190141591503741,-0.3922358130693627
sin_basica,-0.3954793266890045,0.022190675071336975,0.13009478414788606,-0.19244120847203156,-0.4531638672336948,0.1453161628697463,0.26870067788714264,0.48007595817606497,-0.25417114215723047,-0.3065230175346451,0.08422852778377002,0.2700471151918973,-0.22455687685148693,0.24701960665208342,-0.13113295208796513,0.5676000526562714,-0.13540820960751287,-0.24684666775528924,-0.0632228051530741,0.2770617403938585,0.2604767591731366,-0.0640985652790192,0.025523252472831794,-0.2193934632622412,0.044540019925165486,-0.3253039062132629,-0.11021633186150563,-0.06641230134087957,-0.49960403743266846,0.6049416062078821,0.4823488117939307,-0.22219107147149095
sin_drenaje,-0.3764817196829037,-0.31881064775076207,-0.08348727819848788,0.6009335964291388,-0.4728800231124997,-0.2372920821407565,-0.4137321752883218,0.06262137400462979,-0.23266484203173815,0.41558659040533813,0.2268832183954585,1.0130153144210412,0.033312290758266,-0.3363734933760951,0.001111948246897293,-0.23772096041583335,-0.07182298211602908,0.22477291927696175,-0.5061502378799303,-0.5790331869309243,-0.274912734463834,0.21870238406083217,0.33761306713170025,-0.1215739469091854,0.39949943763833506,-0.4069957839844917,0.13416909649131123,-0.47199309082416724,-0.1982030327012192,-0.10374857477160758,1.800979228073352,-0.025323672754467813
sin_electr,-0.08665201612983545,0.369681842216117,0.4872047172370479,0.03601658764054536,-0.07933837305894789,0.07243675456882923,-0.5391270152712292,0.782972371022107,-0.28424060019057723,0.2991234615291172,-0.20531224370025544,-0.2093344493453091,-0.07724907138907496,-0.15514172543740745,-0.426406519363386,-0.4935916280440255,-0.42564779988221213,0.21822432706978973,0.02152911061890602,0.01610059611081499,-0.3519854007916519,0.14321965846448825,0.402415580924308,0.563155233911771,-0.17001900814146753,0.4735366649060939,-0.5415742101549285,0.35025414652176573,-0.20554399227356643,0.1359957912889579,0.21844213437798077,-0.33914492523476014
sin_agua,-0.3404196746556379,0.19029886871895696,0.2751382387036406,-0.004343802140978479,-0.01928694322635906,-0.15234993078712283,0.24182518133996891,-0.08026349258449225,-0.4693603664287807,-0.2922558755715451,-0.08828180851699098,0.4457760860021046,0.03735107958047301,-0.2854995927548188,-0.11197054085337091,-0.18984069842220352,0.3359182989113089,-0.14604525873672078,0.060105451978702026,0.08098261213777827,0.10004376999101283,0.14558345777726034,-0.23583070658653296,0.9421152863335239,-0.17399451979881497,-0.2257642682251978,0.11649561935443963,0.37916209945792123,-0.5262266693211235,0.5666644610385341,-0.28419016718832774,-0.29153619552660853
piso_tierra,-0.43691672482838145,0.05668303822634731,0.3754620845579626,-0.34809248419486327,-0.46302933461630014,0.3745942213496467,0.2423084698689712,-0.13476114958147203,-0.44736890973657023,0.0017551410863369814,-0.06393589734389925,0.8234663121374678,-0.10656484275089342,-0.1053001261221872,-0.10610170874368353,0.2512007965968937,0.31122867202759236,-0.0599110361387703,-0.30518876192444305,0.8504766581948144,0.26924540162936805,-0.03722957105037853,-0.040585479476532696,0.4563457828447467,0.052500985923747204,-0.12664130727384457,-0.1434242540581155,-0.16301222402178564,-0.35883646586940515,0.31512728629229236,-0.4459713998566964,-0.48752317314796423
hacinam,-0.45586667873652015,-0.4160444313092384,-0.13679116212048917,0.7255041777871086,-0.48990129240616365,-0.08607559853103927,0.36889769119878746,-0.7796182400908063,0.2607416358689034,-0.5743738744659328,-0.321709041779256,0.5793212495825071,-0.1449818477014989,-0.36801016711741774,0.042543931529455285,-0.2539277759120156,0.16175489034817508,-0.13955226832446038,-0.20201009272373321,0.2915984761027841,0.3671187039272949,-0.17468654754858925,0.8839303436469181,-0.1079254523005671,0.1912989046509246,-0.4824117325429772,0.3665444432711476,-0.07795003362345161,-0.004391772677806729,0.3657429655491297,1.0806878479043758,-0.4694572514555561
loc_peq,-0.13087239756871002,0.2979506262769115,0.18294796598705484,-0.059709935164614876,0.10992044472132986,0.0801508000435724,-0.09116106001218033,0.07596726348273052,-0.19425421594052117,0.010704359676765888,-0.04089309801543521,-0.02113504130441607,0.010674787279970361,0.07445775745102287,-0.03185377966875335,0.025211328160440305,-0.028991349897062008,-0.004022693077415863,0.040135803563995105,0.0411858457358038,0.03721030569739611,-0.006922780319512154,-0.06716498045767633,0.013619981023167398,-0.07509741524523371,0.06115192127872573,-0.2735309822517946,0.01425117798564257,-0.07186881370905547,-0.015258684880575774,0.03152413091850048,0.005672728229928558
ing_2sm,-0.08248519965115411,0.49000384922636814,-0.5097304973089027,0.08440876126327769,-0.14865730091575827,-0.26053332317164024,0.4643707652434273,-0.4466318057188973,-0.01992385896969594,-0.2417556923116605,0.005215609621705086,0.1672145799886262,0.252177682028969,-0.5587934853522176,0.08587962975340188,-0.3129262962055837,0.39740740940977126,-0.3341246479472041,-0.498647455814147,0.17363492834182018,0.48399724896890445,-0.2125679922144777,0.06111360259056833,0.13781468598054264,-0.3695982153734508,-0.6167889371694392,0.20781118706915458,0.31866084199116057,0.36525176071674237,0.4628854450026121,0.5677255580266767,-0.11240883709950565
rezago_educ,-0.12133377241474838,-0.054366961160123906,0.11647333312657804,-0.051041948679526036,-0.47356694055606585,0.21514633473983522,0.33373872995259274,0.3012400971413579,-0.5316914004564116,-0.42714886094574167,0.04565649204439335,0.1323742239024368,-0.2672579848784245,0.1650530734985476,-0.4451922193400651,0.6632920291274749,-0.05042670569901208,-0.27251302734766836,0.015842570098316588,0.17314704860714453,0.25432655108513963,0.021445860307873512,0.22569729881085562,-0.21646393221493895,0.05029138318504016,-0.3109040364408779,-0.2557728248373371,-0.01976821916942125,-0.644760286015302,0.8337649924502665,0.695914513724718,-0.10119541164690474
car_salud,-0.2370280768356142,-0.4080497780701726,-0.7074693031549181,-0.1489043655939317,-0.023130195034359924,-0.7246756636172368,0.9979785187949501,-0.6482675094031023,-0.5713172239071936,0.3224128103581514,-0.22667402005287418,0.7416295752154609,0.2541247066219625,0.5388691687554489,0.23185503730481014,1.1794598858459884,0.2238733443381697,0.10426830653738281,-0.764564537767429,0.7868804454448174,0.5030347819242598,-0.5814590918645677,-0.3459775373720894,-0.1602972849123521,-0.5323221134869695,0.08991362880587984,0.022875021903228335,-0.7122656014311174,0.17941621142092729,0.5231096048321107,-0.234416185276706,0.32711743967708484
car_segsoc,-0.4468806948486409,0.1125122023047235,-0.5137928751497969,-0.020429536758360064,-0.8572304953480547,-0.31436677015782744,0.04208587093624276,-0.018137373660871932,0.3241664477053179,-0.13777859575893017,0.27138368410184815,0.14729980744997082,0.4049444113650372,0.158496590830171,0.43695081986878254,0.17390646978257032,0.2847514342704877,-0.4586358722801898,-0.07384167343183787,-0.31738988685122155,0.366172273364375,0.4338364977688367,0.11770927249946024,-0.16211969566795298,-0.4000143620171984,-0.41875054784844457,0.2988579016642705,0.07453941417770608,0.33983425661603556,0.2911030498187008,-0.07343070315474,-0.06575132159047034
car_vivienda,-0.2242187619463732,0.28861226790915195,0.15939296990235105,0.19506137450337901,-0.5639466552511141,0.2824868115911082,-0.0012888087143178132,-0.11876040619369152,0.05389458903314551,-0.7136743689291106,-0.34917405198045964,0.6810518812536845,-0.31101559653555416,-0.0797504615154478,-0.21836603980179484,0.11579410159759852,0.13850104078660055,-0.48689194085935544,-0.20739771587920922,0.5499713217180779,0.06947093833023298,-0.0058063678097887315,0.638561218434842,0.13551369797375784,0.12691974797889094,0.011941854398874562,-0.12108988972424906,-0.06863223337117245,-0.22845697885013005,0.3242978271445925,0.8631824986768858,-0.9361838638714078
car_servbas,-0.6566582785882209,-0.1287548564521871,0.0448950977363341,0.47631291712976737,-0.4209070461011282,0.17072221137995777,0.24049591078619997,-0.5412733319846701,-0.2846284890556185,-0.7521453423982263,-0.16346118383837624,0.5217878452402687,-0.05018556020655356,-0.21479663364540963,-0.17260847231258136,-0.18846198864691394,0.2610109369623036,-0.35408853837341936,-0.39529279500147313,0.5443183188406556,0.13450893738954353,0.04818786449373384,0.5276828539053752,0.27031743182420587,0.05189354709547883,-0.48711069403376694,0.6517237779869925,0.13437194297598476,-0.41805410801123793,0.5122143691759279,1.2057030123314414,-0.5677196566043887
car_alim,0.06333169627185704,-0.6481288093459758,0.12245483307895842,0.07897281375190082,0.11112443039698117,0.10243324378930485,-0.6797922777587784,-0.4060870089192866,-0.4204827272892892,-0.4373148140644571,-0.1446020548286675,0.22287208554011118,0.40503015664617253,-0.5122971447151655,0.03523693780879135,0.023306291943986115,0.28841591317684445,-0.032959252200369486,-0.08522585136930397,0.39087869622240656,0.41520338460837014,-0.1509929844669529,0.16527349035071173,-0.1772704857061019,0.370834334649322,0.0623019932309767,1.0068555510156418,-0.8315632954045925,0.3445669855658313,0.24088559449910682,0.48814813656659034,-0.41140986304492505
lp_ingreso,-0.3828034157518,-0.3860320169986225,-0.19418761775890322,0.11183495079231114,-0.6197390424055998,-0.23892073218762622,0.3475700330906392,-0.551500660692075,0.4632827694920451,-0.24062812982467024,-0.05458331582758938,0.13381422040370847,0.0114884803329328,-0.3330592048133448,0.4119451240108901,-0.28300594833105697,0.522811068541103,-0.4628669698300569,-0.8741624629549993,0.5396405412368855,0.41940552221457483,-0.08787416089403777,0.435834757469166,0.22792233743133022,-0.3842445536911709,-0.4604481698652867,0.21667254248538637,0.0431713515229273,0.5113747253056118,0.5549558260807631,0.6830170395596948,-0.08068488814312279
lp_ingreso_ext,-0.2578282888579348,-0.44368621945492526,-0.04976282286341895,0.2190386333711552,-0.6364274302928208,-0.1582459042626795,0.21601395567307055,-0.5122553142351701,0.5220200228104375,-0.19960928136716885,-0.025211312815646026,0.13811321541035554,-0.15054373306023616,-0.4036908081846151,0.38268901370771274,-0.35256538308019464,0.5686118172742497,-0.5176329923268745,-1.049887123559175,0.44424720243419047,0.32867518924165773,-0.10839322452973559,0.6643470817643937,0.3314606874199806,-0.4733102053230532,-0.29445786125563234,0.23828566964634354,0.07175834201615336,0.5379020716864847,0.5134090189763161,0.5633137641469342,-0.10637778011015515
