spec,term,coef,se,t,n
resumen,brecha_AABB_total_punto,348.125727,,,224
resumen,dif_AA_piso_menos_inc_ci_lo,-1834.053717,,,224
resumen,dif_AA_piso_menos_inc_ci_hi,1606.284257,,,224
resumen,dif_AA_piso_menos_inc_punto,-220.325185,,,224
resumen,dif_BB_piso_menos_inc_ci_lo,-1664.277534,,,224
resumen,dif_BB_piso_menos_inc_ci_hi,108.398674,,,224
resumen,dif_BB_piso_menos_inc_punto,-851.786382,,,224
resumen,log_piso_BB_ci_lo,-0.626924,,,224
resumen,log_piso_BB_ci_hi,0.0,,,224
resumen,log_piso_BB_punto,-0.360568,,,224
resumen,dif_discordancia_piso_menos_inc_ci_lo,-3301.67054,,,224
resumen,dif_discordancia_piso_menos_inc_ci_hi,2136.038509,,,224
resumen,dif_discordancia_piso_menos_inc_punto,-28.130572,,,224
