,AA,BB
Ruralidad,0.2744633064381902,-0.7183811910528474
Car. calidad viv.,0.36702022106382853,-0.481770567026311
Car. serv. básicos,0.11027938820317512,-0.7334793783092048
Car. alimentación,0.21794527387553828,0.02839789291916806
Car. seg. social,0.23977238329196054,0.10140626758382824
LP ingreso,-0.3763721066956471,0.40284891780156423
log población,0.05561537807026869,0.2802364833766959
